encode=UTF-8
name=徐码输入法FF
key=abcdefghijklmnopqrstuvwxyz
len=4
match=1
commit=0 0 0
auto_clear=4
simple = 3
assist=` mb/pinyin.txt
[DATA]
a 能
a 能力
a 能不能
a Ⓐ
a ⓐ
a ⒜
aa 出
aa あ
aa ア
aa ㄚ
aaa 淼
aaaa 茻
aaaa 出出
aaaa 斷斷續續
aaac 繼
aaad 斷絕
aaaf 出发
aaaf 絲絨
aaag 幾經
aaah 骏马骄行踏落花
aaai 絫
aaai 厽
aaaj 斷續
aaaj 糾結
aaaj 繼續
aaam 骉
aaam 骏马
aaam 出马
aaam 出納
aaao 出台
aaas 出水
aaas 斷水
aaas 絲綢
aaas 淼
aaat 糾紛
aaau 絀
aaau 芔
aaau 出線
aaau 斷線
aaaw 骑骆驼
aaaw 糾纏
aaaz 驱马出关门
aabb 出书
aabf 出阵
aabf 骑马飞奔
aabi 繼承
aabj 出書
aabl 出了
aabl 斷了
aabu 出险
aabu 骆驼队
aabu 出險
aabw 出院
aabx 紈絝子弟
aabz 骡驮子
aabz 絕緣子
aac 糶
aaca 出奶
aaca 斷奶
aacb 出好
aacf 骆驼绒
aacg 出线
aacl 出力
aacm 出纳
aacm 繼母
aacn 验收组
aaco 參加
aact 糶
aacu 出给
aacw 出嫁
aacz 出巡
aacz 驿骑如星流
aadb 出局
aadd 出刀
aadd 結結巴巴
aadd 出發
aade 出丑
aadf 出戏
aadh 出展
aadh 參展
aadj 驰骋疆场
aadp 发出通知
aadt 出费
aadu 驷马难追
aadx 斷層
aae 斚
aaea 出动
aaea 出云
aaea 出运
aaeb 出卖
aaed 幾支
aaei 亝
aaei 垒球
aaei 出球
aaei 斚
aaek 總經理
aael 出刊
aaem 出现
aaem 綠水青山
aaen 出現
aaer 水能载舟
aaer 水能载舟亦能覆舟
aaeu 出醜
aaex 出丧
aaez 細水長流
aaf 祟
aafa 出击
aafa 骑马找马
aafa 出报
aafa 收发报
aafc 出车
aafc 骡马车
aafd 出招
aafd 出摊
aafe 出奇
aafe 出奔
aafe 畿辅
aaff 出出进进
aaff 紛紛揚揚
aafh 发出报警
aafi 收发报机
aafk 出进
aafk 出井
aafl 驰骋天下之至坚
aafo 出操
aafr 出轨
aafs 出示
aafs 祟
aaft 骑马打仗
aaft 幾天
aafw 幼发拉底
aafx 熊熊大火
aafz 幼发拉底河
aaga 出到
aaga 絡繹不絕
aagc 出厂
aagc 欸乃一声山水绿
aage 垒砖
aage 繼而
aagf 垒砌
aagg 骐骥一砾
aagi 出于
aagk 幾百
aagl 出列
aagl 斷裂
aagl 參政
aagl 糾正
aagn 出面
aago 斷頭
aago 出頭
aagp 斷編殘簡
aagr 紋絲不動
aagu 驷马不追
aagw 出殡
aagw 出殯
aagz 盈盈一水间
aaha 級聯
aahe 出勤
aahf 出芽
aahg 絲帶
aahh 出水芙蓉
aahk 出苗
aahk 骆驼草
aahk 糾葛
aahk 幾萬
aahn 出鞘
aahn 盈盈在目
aaho 參觀
aahq 出带
aahr 維納斯
aahs 出世
aahs 出警
aahs 出有
aaht 出恭
aahv 綽綽有餘
aahz 出落
aahz 淼茫
aai 叄
aaia 縫紉機
aaib 幾根
aaic 盈盈楼上女
aaig 出工
aaig 出项
aaih 出線權
aaii 厸
aaii 叄
aaim 骆驼刺
aain 斷想
aain 出欄
aaio 出事
aaio 參事
aaiq 收发机
aair 马驹桥
aair 斷橋
aaiu 出來
aaiv 出格
aaix 出来
aaix 出栏
aaix 幾樣
aaiy 出榜
aaiy 出校
aaiz 出过
aaiz 出水才看两腿泥
aaj 垒
aaja 出去
aaja 出擊
aajb 出场
aajb 出发地
aajc 出車
aajd 出声
aajd 出超
aajd 出起
aajd 出聲
aaje 垒墙
aajf 出城
aaji 垒
aajj 參考
aajk 斷電
aajk 出場
aajm 垒坝
aajm 出賣
aajo 出臺
aajr 出軌
aajv 出土
aajv 垒土
aajw 出下
aajw 幾下
aajy 斷
aajy 出境
aajz 出走
aak 畿
aakd 出电
aakd 參照
aakg 出题
aakg 出量
aakg 出水量
aakg 出題
aakg 參量
aakj 幾時
aakp 出师
aaku 出界
aakv 幾日
aaky 畿
aal 蠿
aalb 出马上阵
aalf 幾歲
aali 剼
aalj 出马上场
aall 马马虎虎
aaln 幾步
aalo 出发点
aalo 出战
aalo 出点
aalo 驱马上路
aals 出上
aals 垒上
aals 組織上
aalv 出處
aalx 紡織業
aaly 蠿
aamh 出典
aaml 幾點
aamp 出账
aamt 出眾
aamv 出山
aanb 幾眼
aane 出国
aane 出圃
aane 能卫国
aanf 出國
aang 斷開
aanj 參見
aanm 絕緣體
aanm 出門
aano 出過
aanq 出掌
aant 出具
aant 參閱
aanx 出圈
aanx 幾圈
aao 骀
aaoe 參數
aaoe 級數
aaoi 发发呆
aaoj 收发器
aaok 出戰
aaok 參戰
aaom 收发员
aaom 骀
aaon 出納員
aaoo 出品
aaoo 紡織品
aaoq 級別
aaor 緿
aaov 紿
aaov 出口
aaov 出路
aaov 出水口
aaov 斷路
aaov 絲路
aapd 出缺
aapf 參看
aapf 參拜
aapg 出钱
aaph 出错
aaph 水驱气藏
aapj 出笼
aapk 絲竹
aapm 出血
aapm 出衆
aapq 出气
aapq 出出气
aaps 出生
aaps 水水生
aapv 參贊
aapw 出水管
aapx 出乎
aapx 斷氣
aapx 出氣
aapx 幾乎
aapx 幾番
aapy 出镜
aapy 出籠
aapz 幾篇
aaq 欪
aaqd 出色
aaqf 出军
aaqf 糾風
aaqj 參軍
aaql 出外
aaql 垒外
aaqo 出名
aaqq 幾多
aaqq 欪
aaqr 出饭
aar 毿
aara 參透
aarg 絲瓜
aari 毿
aarj 幾近
aark 出動
aarm 出盘
aarn 出租
aarq 幾千
aarr 幾所
aarr 幾種
aars 出手
aarx 出乘
aary 出航
aary 出稿
aarz 出科
aas 骖
aasa 斷後
aasf 幾經周折
aasg 出征
aasi 參
aasj 出徒
aasj 出街
aasj 斷然
aask 出得
aask 斷腸
aasm 骖
aaso 幾句
aasq 出脓
aasq 參股
aass 沝
aass 紅細胞
aast 紐約州
aasx 出行
aasx 出脱
aatd 幾隻
aate 幾何
aate 出價
aatf 斷代
aatg 出使
aath 出借
aati 出兵
aatj 出仕
aatj 出伏
aatm 马骄偏避幰
aatn 幾個
aato 出售
aato 发出信号
aatr 出版
aatr 出任
aatr 出息
aatr 繼任
aats 出身
aatt 繼父
aatu 出价
aatu 出牌
aatu 骆驼牌
aatv 出货
aatv 網絡化
aatv 出貨
aatx 經緯儀
aaty 出位
aaty 繼位
aatz 出自
aau 糾
aau 艸
aau 出
aaub 出仓
aaue 验收会
aaug 出鬼
aaug 參悟
aaug 參與
aaug 出師
aaun 鷥
aaup 組織性
aaus 凼
aaus 縿
aauu 出众
aauu 收发人
aauu 骑马人
aauu 验收人
aauu 經紀人
aauy 幾
aav 絲
aava 出迎
aava 骑驴觅驴
aavb 骆驼比
aavb 水驱比
aavf 絲絲入扣
aavf 出錢
aavh 出猎
aavh 糾錯
aavh 出錯
aavi 出彩
aavi 出將入相
aavk 出备
aavl 出处
aavm 骏
aavr 出入
aavr 純收入
aavv 出出入入
aavx 出逃
aavy 出鏡
aavy 出獄
aavz 出狱
aaw 級
aawc 斷案
aawf 出库
aawg 出家
aawg 收发室
aawg 斷定
aawh 出席
aawh 出赛
aawh 出度
aawh 出塞
aawh 參賽
aawh 幾度
aawh 絲襪
aawi 叅
aawk 出神
aawl 驻马店
aawn 紡織廠
aawn 出廠
aawo 垒窝
aawr 出庭
aaws 糾察
aawt 總統府
aawu 級
aaww 縫縫補補
aawy 驻马店市
aax 粜
aaxc 出断
aaxd 紅綠燈
aaxf 出关
aaxf 验收关
aaxf 驱马前进
aaxf 斷送
aaxf 參半
aaxi 出差
aaxi 參差
aaxj 出拳
aaxj 骑马装
aaxk 验收单
aaxk 斷糧
aaxl 出爐
aaxm 絲米
aaxm 粜
aaxo 出兑
aaxq 出资
aaxq 出資
aaxt 出道
aaxt 出首
aaxx 熊熊燃烧
aaxx 熊熊燃燒
aaxz 出炉
aaxz 出料
aayc 出亡
aayg 出產
aayh 參謀
aayi 出新
aayl 出站
aayl 收发站
aaym 紐約市
aayo 骏豪
aayo 組織部
aayo 絲毫
aayp 出产
aayp 出遊
aayp 幾許
aays 出韵
aays 斷壟
aayt 出齐
aayt 出离
aayt 斷交
aayu 出診
aayu 出於
aayv 出言
aayv 斷言
aayw 出讓
aayx 參詳
aayx 參議
aayy 總參謀部
aayy 出訪
aayz 幻出文君与薛涛
aaz 遪
aaza 水发海参
aaze 出汗
aaze 出清
aazf 出头
aazh 出港
aazi 发出请求
aazi 遪
aazj 骆马湖
aazj 骆驼湖
aazk 出油
aazl 出让
aazm 出门
aazo 絲綢之路
aazp 出海
aazq 出没
aazq 熊出没
aazq 出沒
aazr 出活
aazs 出调
aazs 垒沟
aazt 出浴
aazu 出诊
aazv 出阁
aazv 出溜
aazw 出演
aazw 參演
aazx 出洋
aazy 出访
aazy 出游
aazy 斷流
ab 幻
aba 緑
abaa 幻出
abaa 孕出
abab 斷子絕孫
abaf 驰驱
abaf 能退能进
abak 驰骋
abam 維也納
abao 網際網路
abas 緑
abbx 水灵灵
abcb 孕妇
abcb 孕婦
abcm 孕母
abd 骎
abdm 骎
abe 驰
abei 繡球
abem 孕酮
abem 驰
abew 骗了无涯过客
abex 台阶覆盖
abfb 水随天去秋无际
abfi 台阶式
abfu 經院哲學
abfv 驰援
abgc 乃敢与君绝
abgi 收录于
abgs 水陆两用
abgx 幻灭
abhh 水陆草木之花
abhs 孕期
abhs 水陆联用
abht 繡花
abih 繼承權
abii 幻梦
abin 幻想
abiq 收录机
abiu 孕检
abiw 幻术
abjb 驻防地
abjj 水陆坦克
abjk 出院者
abjy 幻境
abk 繣
abkd 驰电
abkg 繣
abkv 幻日
abky 幻影
abky 幻景
abkz 骥子最怜渠
abl 縃
abls 縃
abme 水陆罗八珍
abnq 马建堂
aboj 孕吐
abor 幻听
abpc 卫队长
abq 綅
abqd 綅
abqf 驻防军
abqo 驰名
abqo 幻象
abqo 出了名
abqy 幼子饥已卒
abr 縁
abrj 孕穗
abrs 骗子手
abru 縁
abrx 骗退税
absg 卫君待子而为政
absi 幻術
absw 驰往
absz 絞盡腦汁
abt 骕
abta 繡
abtg 卫灵公第十五
abtj 骄阳化为霖
abtm 骕
abto 繘
abtq 繡像
abtv 幻化
abtx 骄阳似火
abue 孕情
abue 幻剑
abut 幻覺
abuu 繼承人
abuy 幻
abvi 幻彩
abwi 水陆空
abwm 幻视
abx 繍
abxd 幻燈
abxe 幻灯
abxs 孕前
abxt 繍
aby 紓
abya 孕育
abya 孕畜
abyb 驻防部队
abyd 總書記
abym 綿陽市
abyp 孕产
abyp 收录放
abys 沀
abz 孕
abzf 幻滅
abzg 驰誉
abzm 出了门
abzn 孕
abzq 幻觉
abzy 繡房
ac 幼
acak 水力发电
acak 水力发电量
acao 出纳台
acas 收缩水
acas 幼驹
acas 綠水
acau 紗線
acay 水力发电站
acb 孧
acbu 出线队
acby 孧
acbz 幼子
acbz 马奶子酒
acbz 出尘子
acci 幼嫩
acci 幼妹
accn 出纳组
accv 幼女
accv 絕妙好辭
accx 幼小
acdj 水力發電
acdx 幼弱
acer 能力表
acet 水纹珍簟思悠悠
acew 水如环佩月如襟
acfc 水绿天青不起尘
acff 发纵指示
acff 妝奩
acg 綠
acga 马尘不及
acga 收缩到
acga 綠
acgc 水如一匹练
acgh 能力型
acgj 收缩压
acgo 綠豆
acgs 緣
acgx 逡巡不前
acgz 出尘不染
achf 幼芽
achh 綠葉
achk 幼苗
achk 收编在
achk 綠草
achm 紗布
achn 綠茵
acht 马缨花
achu 綠茶
acic 幼功
acid 出线权
acif 水力模拟
acig 練習本
acii 幼林
acii 綠林
acij 綠樹
acip 幼株
aciv 幼木
acjb 幼教
acjb 綠地
acjd 水乡霾白屋
acjd 緣起
acjk 参加者
acjk 參加者
acjp 緣故
acjq 幼犬
acjz 参加考试
ack 緇
acke 綠野
ackg 練習題
acki 繅
acki 幼时
acki 幼果
ackj 幼時
acko 緣由
ackp 幼师
ackt 緇
acl 糼
acld 水丝蚓
acll 幼蟲
acll 綠卡
aclo 发力点
aclq 幼虎
aclu 幼龄
aclv 幼虫
acly 幼
acml 紗罩
acmm 綠帽
acmp 能如婴儿乎
acne 参加国
acnm 幼體
acoe 幼叶
acoe 純小數
acom 出纳员
acox 孕妈咪
acp 紗
acpf 幼年
acpn 水母牛
acpu 紗
acqb 幼雏
acqc 马绍尔
acqd 水绿色
acqd 綠色
acqk 幼龟
acqo 幼名
acrq 水翼船
acrt 幼稚
acrz 出纳科
acsd 发红包
acsd 綠肥
acsn 幼鸟
actc 收缩自如
actd 緣分
acte 緣何
acti 幼体
acti 台统兵
actr 出以公心
actv 綠化
acu 糺
acug 收纳盒
acug 幼鸽
acug 幼師
acus 繆
acus 幼鼠
acuu 参加人
acuv 幼兒
acuy 鴢
acuy 乣
acv 妝
acve 幼儿
acvk 幼狮
acvl 出纳处
acvp 妝飾
acvp 妝
acvs 幼豹
acvw 紗錠
acwn 紗廠
acx 尕
acxd 能力差异
acxd 綠燈
acxi 厼
acxi 能力差
acxj 孕妇装
acxn 水如烟
acxn 尕
acxu 能以精诚致魂魄
acya 幼畜
acya 收缴率
acyj 幼童
acyo 水力部
acyu 参加方
acyu 緣於
acyx 幼帝
acyy 水力效率
aczd 出纰漏
acze 马奶酒
aczf 盈缩之期不但在天
aczq 水力学
aczs 綠洲
ad 盈
ada 繈
adac 絕緣
adad 盈盈
adai 紭
adal 繈
adam 紀綱
adas 紐約
adat 能屈能伸
adau 緯線
adb 紦
adbg 发展司
adbj 緯書
adbm 骣
adbu 收尸队
adcb 絕好
adcc 絕妙
adcn 发展组
adcp 发展乡
adcp 絕響
adcu 发展缓慢
adcz 发展经济学
add 絕
add 糿
addb 发展局
addb 收费局
addb 絕
addd 綴
addd 縀
addi 縔
addm 发展观
addo 絕壁
addt 发展费
addw 盈尺
ade 紐
adea 骚动
adea 盈动
adea 驿动
adec 紀要
adee 水尽南天不见云
adef 参观票
adeg 絕頂
adep 马戏班
ader 收费表
adeu 紐
adez 马戏表演
adf 驿
