char,division,code,orig_simp,acewho_simp,pinyin
Ⓐ,,a,,,
ⓐ,,a,,,
⒜,,a,,,
𦱠,,aaaa,,,
𦶛,,aaaa,,,
𮉃,,aaaa,,,
𦷶,,aaaa,,,
𦅍,,aaaa,,,
𦽱,,aaaa,,,
𦿑,,aaaa,,,
𦇡,,aaaa,,,
𦱹,,aaaa,,,
𰄔,,aaaa,,,
茻,屮屮屮屮,aaaa,,,mǎng·mǔ
𦇓,,aaab,,,
繼,糹幺幺乚,aaac,,,jì
𧁇,,aaad,,,
𦃒,,aaaf,,,
𦱴,,aaah,,,
𣕐,,aaai,,,
𭆤,,aaai,,,
𠬀,,aaai,,,
𠫱,,aaai,,,
𠬆,,aaai,,,
𠫬,,aaai,,,
厽,厶厶厶,aaai,,,lěi
絫,厶厶糸,aaai,,,lěi·lèi·léi
𡴠,,aaaj,,,
𣈤,,aaak,,,
𦮅,,aaam,,,
𱅒,,aaam,,,
骉,马马马,aaam,,,biāo
𢥁,,aaar,,,
㴇,水水水,aaas,,,shè·máng
㵘,水水水,aaas,,,màn
淼,水水水,aaas,aaa,aaa,miǎo
絀,糹屮凵,aaau,,,chù
芔,屮屮屮,aaau,,,huì·hū
𢇇,,aaay,,,
𨾀,,aaba,,,
𪞺,,aabc,,,
𰫨,,aabg,,,
𨝤,,aabi,,,
𨝐,,aabi,,,
䢺,屮凵阝,aabv,,,chū
𢇒,,aaby,,,
𢇓,,aaby,,,
𢇍,,aaby,,,
𡥝,,aaby,,,
𥿱,,aabz,,,
𠬎,,aaci,,,
𡮟,,aaci,,,
㕘,厶厶小,aaci,,,cān
𢽅,,aacl,,,
𥿌,,aacl,,,
㔘,屮凵力,aacl,,,chù
𡭱,,aacp,,,
𢋱,,aacs,,,
𦺂,,aacs,,,
𤉐,,aacs,,,
𮋚,,aact,,,
𱁐,,aact,,,
糶,屮凵羽隹,aact,,,tiào
𡴂,,aacu,,,
𪦥,,aacv,,,
𦅒,,aacw,,,
𡭧,,aacx,,,
𥽠,,aacy,,,
𭙌,,aacy,,,
𢇖,,aacy,,,
𢆸,,aacy,,,
𮋑,,aacy,,,
𫷣,,aacy,,,
㡭,幺幺乚,aacy,,,jì
𨒯,,aacz,,,
𦴘,,aadd,,,
𦀩,,aadd,,,
𧑎,,aadl,,,
䋼,糹乃又皿,aadm,,,tǐng·yíng·tīng
𧸆,,aadn,,,
𠬳,,aado,,,
𬗅,,aado,,,
𠙢,,aadq,,,
𢡈,,aadr,,,
𦛬,,aads,,,
𮮩,,aads,,,
𢆼,,aady,,,
𠨍,,aae,,,
𧀍,,aaea,,,
𪔫,,aaed,,,
𰆋,,aaee,,,
𠫹,,aaei,,,
𠫼,,aaei,,,
亝,厶厶二,aaei,,,qí·zhāi
斚,厶厶十,aaei,,aae,jiǎ
𰏱,,aaev,,,
𦲬,,aaev,,,
𫧠,,aaey,,,
𫷡,,aaey,,,
𨜿,,aafb,,,
𥛁,,aafd,,,
𠭥,,aafd,,,
䄐,屮凵示已,aafd,,,quàn
𡴨,,aafe,,,
𡴝,,aafe,,,
𦭠,,aafg,,,
𦭫,,aafg,,,
𥚋,,aafg,,,
𤭽,,aafh,,,
𫃰,,aafi,,,
𠬂,,aafi,,,
𥚪,,aafi,,,
𢿆,,aafl,,,
𩧯,,aafm,,,
𦽣,,aafq,,,
㱁,屮凵示欠,aafq,,,shì·kuǎn
祟,屮凵示,aafs,aaf,aaf,suì
䳳,屮凵示鳥,aafu,,,xù
𬘁,,aafw,,,
𠩃,,aagc,,,
𦬟,,aagh,,,
𠬘,,aagi,,,
𩕞,,aagi,,,
䫩,厶厶頁,aagi,,,sǎn
𱂢,,aagm,,,
𨑆,,aagn,,,
𠔖,,aagt,,,
𠒄,,aagw,,,
𩕛,,aagy,,,
䪼,屮凵頁,aagy,,,zhuō
㞊,屮凵𠂇乚,aahc,,,xù
